,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight
3247,F,0.61,0.495,0.19,1.213,0.464,0.306,0.365
3248,M,0.595,0.5,0.165,1.06,0.402,0.28,0.275
3249,M,0.3,0.24,0.09,0.161,0.0725,0.039,0.05
3250,F,0.435,0.35,0.125,0.459,0.197,0.1145,0.145
3251,I,0.455,0.375,0.125,0.533,0.233,0.106,0.185
3252,M,0.48,0.38,0.13,0.6175,0.3,0.142,0.175
3253,I,0.43,0.35,0.105,0.366,0.1705,0.0855,0.11
3254,F,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13
3255,I,0.3,0.23,0.075,0.15,0.0605,0.042,0.045
3256,F,0.575,0.48,0.15,0.8745,0.375,0.193,0.29
3257,M,0.505,0.385,0.11,0.655,0.3185,0.15,0.185
3258,M,0.455,0.375,0.125,0.484,0.2155,0.102,0.165
3259,M,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39
3260,F,0.56,0.435,0.125,0.8775,0.3345,0.2145,0.29
3261,F,0.645,0.52,0.19,1.3105,0.58,0.288,0.37
3262,F,0.595,0.485,0.145,1.2515,0.5035,0.2925,0.33
3263,M,0.565,0.45,0.115,0.9085,0.398,0.197,0.29
3264,F,0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285
3265,M,0.48,0.38,0.135,0.528,0.2,0.1395,0.16
3266,F,0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185
3267,F,0.4,0.335,0.115,0.4335,0.2105,0.1205,0.12
3268,M,0.41,0.31,0.125,0.3595,0.1415,0.0885,0.115
3269,F,0.595,0.465,0.145,1.107,0.402,0.2415,0.31
3270,F,0.625,0.475,0.13,0.8595,0.3195,0.1775,0.24
3271,M,0.52,0.425,0.155,0.7735,0.297,0.123,0.255
3272,M,0.465,0.36,0.125,0.4365,0.169,0.1075,0.145
3273,F,0.475,0.375,0.14,0.501,0.192,0.1175,0.175
3274,F,0.5,0.405,0.14,0.6735,0.265,0.124,0.25
3275,M,0.46,0.355,0.11,0.415,0.215,0.082,0.13
3276,M,0.485,0.385,0.125,0.4775,0.2,0.0785,0.17
3277,F,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215
3278,M,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22
3279,F,0.655,0.53,0.19,1.428,0.493,0.318,0.565
3280,M,0.69,0.54,0.185,1.6195,0.533,0.353,0.555
3281,M,0.55,0.45,0.17,0.81,0.317,0.157,0.22
3282,F,0.58,0.475,0.165,1.0385,0.414,0.26,0.305
3283,F,0.59,0.475,0.155,0.9715,0.371,0.235,0.28
3284,M,0.565,0.44,0.155,0.868,0.348,0.217,0.26
3285,F,0.665,0.57,0.185,1.522,0.6965,0.3025,0.405
3286,F,0.62,0.51,0.175,1.1255,0.4985,0.227,0.315
3287,M,0.55,0.46,0.13,0.7085,0.305,0.1455,0.205
3288,F,0.605,0.475,0.145,1.0185,0.4695,0.225,0.27
3289,M,0.535,0.42,0.16,0.72,0.275,0.164,0.225
3290,F,0.51,0.395,0.12,0.6175,0.262,0.122,0.193
3291,M,0.53,0.405,0.13,0.738,0.2845,0.17,0.193
3292,F,0.495,0.375,0.15,0.597,0.2615,0.135,0.178
3293,M,0.575,0.455,0.185,1.156,0.5525,0.243,0.295
3294,F,0.63,0.5,0.16,1.22,0.4905,0.3,0.345
3295,M,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22
3296,F,0.605,0.485,0.165,1.0735,0.437,0.205,0.33
3297,M,0.645,0.5,0.19,1.229,0.524,0.278,0.395
3298,F,0.62,0.5,0.175,1.146,0.477,0.23,0.39
3299,M,0.605,0.485,0.175,1.145,0.4325,0.27,0.405
3300,F,0.615,0.5,0.205,1.1055,0.4445,0.227,0.39
3301,F,0.66,0.525,0.19,1.67,0.6525,0.4875,0.49
3302,F,0.71,0.575,0.175,1.555,0.6465,0.3705,0.52
3303,F,0.565,0.45,0.185,0.9285,0.302,0.1805,0.265
3304,F,0.57,0.435,0.14,0.8085,0.3235,0.183,0.22
3305,I,0.6,0.445,0.175,1.057,0.383,0.216,0.355
3306,I,0.41,0.3,0.115,0.2595,0.097,0.0515,0.08
3307,F,0.45,0.325,0.135,0.438,0.1805,0.1165,0.11
3308,M,0.275,0.2,0.08,0.099,0.037,0.024,0.03
3309,I,0.485,0.355,0.12,0.5085,0.21,0.122,0.135
3310,F,0.62,0.485,0.165,1.166,0.483,0.238,0.355
3311,F,0.48,0.38,0.135,0.507,0.1915,0.1365,0.155
3312,F,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215
3313,M,0.4,0.31,0.11,0.314,0.138,0.057,0.1
3314,I,0.45,0.355,0.115,0.4385,0.184,0.108,0.1125
3315,M,0.35,0.26,0.09,0.195,0.0745,0.041,0.0655
3316,M,0.44,0.35,0.14,0.451,0.171,0.0705,0.184
3317,M,0.265,0.2,0.065,0.084,0.034,0.0105,0.03
3318,M,0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008
3319,F,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52
3320,F,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25
3321,I,0.49,0.385,0.14,0.5425,0.198,0.127,0.175
3322,F,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595
3323,F,0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098
3324,I,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725
3325,M,0.345,0.265,0.09,0.163,0.0615,0.037,0.0485
3326,I,0.55,0.415,0.135,0.8095,0.2985,0.2015,0.28
3327,I,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425
3328,I,0.575,0.475,0.17,0.967,0.3775,0.284,0.275
3329,F,0.545,0.435,0.15,0.6855,0.2905,0.145,0.225
3330,F,0.385,0.305,0.125,0.314,0.146,0.0555,0.08
3331,F,0.51,0.34,0.18,0.7005,0.312,0.165,0.2
3332,I,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2
3333,I,0.45,0.36,0.125,0.45,0.191,0.0865,0.145
3334,I,0.39,0.3,0.105,0.259,0.0955,0.038,0.085
3335,F,0.425,0.325,0.135,0.382,0.1465,0.079,0.14
3336,F,0.45,0.35,0.125,0.4435,0.185,0.09,0.145
3337,I,0.66,0.525,0.18,1.6935,0.6025,0.4005,0.42
3338,F,0.685,0.525,0.175,1.71,0.5415,0.309,0.58
3339,F,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275
3340,I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264
3341,F,0.49,0.39,0.135,0.59,0.215,0.125,0.1845
3342,M,0.43,0.33,0.095,0.34,0.1315,0.085,0.112
3343,F,0.455,0.365,0.11,0.385,0.166,0.046,0.1345
3344,I,0.495,0.38,0.145,0.515,0.175,0.098,0.212
3345,F,0.48,0.38,0.145,0.59,0.232,0.141,0.23
3346,I,0.47,0.4,0.16,0.51,0.1615,0.073,0.198
3347,M,0.415,0.32,0.1,0.3005,0.1215,0.0575,0.104
3348,I,0.49,0.385,0.115,0.683,0.3265,0.1615,0.165
3349,I,0.47,0.375,0.105,0.468,0.1665,0.108,0.17
3350,I,0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18
3351,F,0.51,0.38,0.13,0.584,0.224,0.1355,0.185
3352,F,0.52,0.405,0.145,0.829,0.3535,0.1685,0.205
3353,I,0.475,0.365,0.14,0.4545,0.171,0.118,0.158
3354,F,0.455,0.36,0.11,0.4385,0.206,0.098,0.125
3355,I,0.435,0.34,0.11,0.407,0.1685,0.073,0.13
3356,I,0.39,0.3,0.1,0.3085,0.1385,0.0735,0.085
3357,I,0.375,0.285,0.1,0.239,0.105,0.0555,0.07
3358,M,0.285,0.215,0.075,0.106,0.0415,0.023,0.035
3359,I,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315
3360,F,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335
3361,M,0.41,0.315,0.095,0.306,0.121,0.0735,0.09
3362,M,0.41,0.3,0.1,0.301,0.124,0.069,0.09
3363,I,0.54,0.405,0.15,0.7585,0.307,0.2075,0.19
3364,M,0.33,0.245,0.085,0.171,0.0655,0.0365,0.055
3365,I,0.44,0.31,0.115,0.3625,0.134,0.082,0.12
3366,M,0.28,0.21,0.065,0.0905,0.035,0.02,0.03
3367,I,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375
3368,I,0.61,0.48,0.165,1.097,0.4215,0.264,0.335
3369,I,0.61,0.46,0.17,1.278,0.41,0.257,0.37
3370,M,0.455,0.345,0.125,0.44,0.169,0.1065,0.135
3371,M,0.33,0.235,0.09,0.163,0.0615,0.034,0.055
3372,I,0.44,0.33,0.135,0.522,0.17,0.0905,0.195
3373,M,0.54,0.405,0.155,0.9715,0.3225,0.194,0.29
3374,F,0.475,0.375,0.125,0.588,0.237,0.1715,0.155
3375,F,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125
3376,I,0.31,0.235,0.09,0.127,0.048,0.031,0.04
3377,I,0.255,0.19,0.07,0.0815,0.028,0.016,0.031
3378,M,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057
3379,I,0.295,0.21,0.08,0.1,0.038,0.026,0.031
3380,I,0.19,0.13,0.045,0.0265,0.009,0.005,0.009
3381,M,0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325
3382,M,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19
3383,M,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22
3384,F,0.305,0.225,0.07,0.1485,0.0585,0.0335,0.045
3385,F,0.475,0.35,0.115,0.487,0.194,0.1455,0.125
3386,M,0.515,0.4,0.125,0.955,0.341,0.2535,0.26
3387,M,0.545,0.41,0.145,0.873,0.3035,0.196,0.31
3388,M,0.74,0.535,0.185,1.65,0.734,0.4505,0.335
3389,M,0.565,0.465,0.15,1.1285,0.377,0.3525,0.33
3390,M,0.56,0.44,0.16,1.1115,0.5035,0.2785,0.26
3391,M,0.545,0.42,0.125,0.9745,0.353,0.174,0.305
3392,M,0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41
3393,M,0.575,0.435,0.13,1.0105,0.368,0.222,0.32
3394,M,0.62,0.48,0.16,1.0765,0.412,0.253,0.3
3395,F,0.605,0.45,0.165,1.2225,0.357,0.202,0.385
3396,M,0.605,0.475,0.16,1.616,0.5495,0.332,0.34
3397,F,0.475,0.375,0.15,0.559,0.1955,0.1215,0.1945
3398,M,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07
3399,F,0.46,0.35,0.115,0.44,0.19,0.1025,0.13
3400,M,0.53,0.43,0.135,0.879,0.28,0.2165,0.25
3401,M,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495
3402,M,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215
3403,I,0.35,0.265,0.11,0.209,0.066,0.059,0.075
3404,M,0.37,0.28,0.105,0.224,0.0815,0.0575,0.075
3405,I,0.34,0.25,0.075,0.1765,0.0785,0.0405,0.05
3406,I,0.35,0.28,0.075,0.196,0.082,0.04,0.064
3407,I,0.35,0.265,0.08,0.192,0.081,0.0465,0.053
3408,I,0.39,0.315,0.09,0.3095,0.147,0.05,0.09
3409,I,0.395,0.31,0.095,0.313,0.131,0.072,0.093
3410,I,0.415,0.31,0.105,0.3595,0.167,0.083,0.0915
3411,I,0.43,0.32,0.1,0.3855,0.192,0.0745,0.1
3412,I,0.48,0.355,0.115,0.5785,0.25,0.106,0.184
3413,M,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185
3414,F,0.49,0.37,0.105,0.5265,0.249,0.1005,0.148
3415,F,0.56,0.465,0.16,1.0315,0.432,0.2025,0.337
3416,M,0.56,0.45,0.14,0.9,0.472,0.182,0.218
3417,M,0.58,0.46,0.15,1.0165,0.491,0.221,0.265
3418,F,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371
3419,M,0.59,0.47,0.135,1.1685,0.539,0.279,0.28
3420,F,0.595,0.475,0.165,1.148,0.444,0.214,0.37
3421,M,0.6,0.475,0.15,1.089,0.5195,0.223,0.292
3422,M,0.61,0.47,0.155,1.0325,0.497,0.2175,0.2785
3423,F,0.63,0.475,0.15,1.172,0.536,0.254,0.316
3424,M,0.64,0.51,0.17,1.3715,0.567,0.307,0.409
3425,F,0.65,0.545,0.185,1.5055,0.6565,0.341,0.43
3426,M,0.71,0.55,0.2,1.9045,0.882,0.44,0.5
3427,M,0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235
3428,I,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215
3429,I,0.28,0.21,0.065,0.111,0.0425,0.0285,0.03
3430,I,0.325,0.24,0.075,0.152,0.065,0.0305,0.045
3431,I,0.35,0.265,0.095,0.199,0.073,0.049,0.06
3432,I,0.36,0.27,0.09,0.219,0.097,0.0405,0.065
3433,I,0.365,0.27,0.105,0.2155,0.0915,0.0475,0.063
3434,I,0.37,0.28,0.09,0.2565,0.1255,0.0645,0.0645
3435,I,0.375,0.285,0.09,0.257,0.1045,0.062,0.075
3436,I,0.38,0.275,0.095,0.2505,0.0945,0.0655,0.075
3437,I,0.395,0.3,0.09,0.279,0.134,0.049,0.075
3438,I,0.43,0.335,0.105,0.378,0.188,0.0785,0.09
3439,I,0.44,0.35,0.125,0.456,0.21,0.0955,0.131
3440,I,0.465,0.37,0.1,0.5055,0.234,0.11,0.14
3441,F,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126
3442,M,0.48,0.37,0.13,0.643,0.349,0.1155,0.135
3443,I,0.485,0.37,0.1,0.513,0.219,0.1075,0.13
3444,F,0.49,0.4,0.115,0.569,0.256,0.1325,0.145
3445,I,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645
3446,I,0.5,0.385,0.11,0.596,0.3015,0.104,0.151
3447,F,0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146
3448,M,0.52,0.39,0.12,0.6435,0.2885,0.157,0.161
3449,M,0.52,0.395,0.125,0.8115,0.4035,0.166,0.2
3450,F,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915
3451,M,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25
3452,F,0.555,0.44,0.145,0.8815,0.43,0.1975,0.2155
3453,F,0.555,0.42,0.11,0.931,0.4445,0.171,0.225
3454,F,0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815
3455,M,0.6,0.475,0.155,1.1385,0.502,0.2295,0.31
3456,F,0.61,0.48,0.16,1.234,0.598,0.238,0.315
3457,F,0.61,0.495,0.175,1.2635,0.53,0.315,0.3455
3458,F,0.61,0.47,0.16,1.0745,0.4925,0.236,0.29
3459,M,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365
3460,M,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825
3461,F,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345
3462,F,0.625,0.47,0.17,1.255,0.525,0.2415,0.405
3463,M,0.625,0.485,0.17,1.437,0.5855,0.293,0.475
3464,M,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295
3465,F,0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353
3466,M,0.64,0.5,0.17,1.4545,0.642,0.3575,0.354
3467,M,0.66,0.525,0.18,1.478,0.5815,0.381,0.372
3468,F,0.665,0.52,0.165,1.6885,0.7295,0.407,0.4265
3469,F,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565
3470,M,0.72,0.565,0.2,1.787,0.718,0.385,0.529
3471,F,0.725,0.58,0.185,1.523,0.8045,0.3595,0.4375
3472,I,0.165,0.12,0.05,0.021,0.0075,0.0045,0.014
3473,I,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013
3474,I,0.355,0.265,0.085,0.2435,0.122,0.0525,0.06
3475,I,0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765
3476,I,0.4,0.29,0.1,0.258,0.104,0.059,0.0815
3477,I,0.4,0.3,0.11,0.2985,0.1375,0.071,0.075
3478,I,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1
3479,I,0.44,0.33,0.11,0.38,0.197,0.079,0.09
3480,I,0.45,0.34,0.105,0.4385,0.21,0.0925,0.12
3481,I,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109
3482,I,0.47,0.355,0.145,0.4485,0.156,0.102,0.123
3483,I,0.47,0.355,0.115,0.4155,0.167,0.084,0.139
3484,I,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845
3485,I,0.485,0.37,0.115,0.637,0.38,0.1335,0.128
3486,F,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065
3487,I,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485
3488,I,0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535
3489,F,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183
3490,M,0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185
3491,M,0.55,0.44,0.16,0.985,0.4645,0.201,0.27
3492,M,0.555,0.44,0.145,0.85,0.4165,0.1685,0.23
3493,M,0.555,0.44,0.15,0.838,0.4155,0.146,0.23
3494,F,0.555,0.43,0.135,0.812,0.4055,0.163,0.2215
3495,M,0.56,0.415,0.13,0.7615,0.3695,0.17,0.1955
3496,M,0.575,0.44,0.145,0.87,0.3945,0.2195,0.225
3497,F,0.585,0.45,0.145,0.9835,0.4845,0.242,0.22
3498,M,0.59,0.46,0.145,0.929,0.38,0.24,0.255
3499,F,0.595,0.47,0.165,1.0155,0.491,0.1905,0.289
3500,M,0.6,0.41,0.145,0.939,0.4475,0.196,0.268
3501,M,0.6,0.475,0.16,1.164,0.5045,0.2635,0.335
3502,M,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325
3503,F,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348
3504,F,0.62,0.51,0.18,1.233,0.592,0.274,0.322
3505,M,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135
3506,M,0.625,0.47,0.175,1.179,0.605,0.258,0.271
3507,F,0.64,0.5,0.165,1.1635,0.554,0.239,0.32
3508,F,0.64,0.475,0.175,1.1545,0.4865,0.341,0.288
3509,F,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355
3510,M,0.65,0.505,0.18,1.469,0.7115,0.3335,0.38
3511,M,0.655,0.52,0.18,1.492,0.7185,0.36,0.355
3512,F,0.655,0.54,0.175,1.5585,0.7285,0.402,0.385
3513,F,0.66,0.5,0.175,1.3275,0.556,0.2805,0.4085
3514,M,0.67,0.525,0.18,1.6615,0.8005,0.3645,0.43
3515,F,0.69,0.525,0.19,1.492,0.6425,0.3905,0.42
3516,F,0.7,0.575,0.2,1.7365,0.7755,0.3965,0.461
3517,F,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398
3518,M,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535
3519,M,0.715,0.545,0.18,1.7405,0.871,0.347,0.449
3520,F,0.72,0.545,0.185,1.7185,0.7925,0.401,0.468
3521,I,0.215,0.15,0.055,0.041,0.015,0.009,0.0125
3522,I,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02
3523,I,0.26,0.205,0.07,0.097,0.0415,0.019,0.0305
3524,I,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038
3525,I,0.33,0.23,0.085,0.1695,0.079,0.026,0.0505
3526,I,0.335,0.26,0.085,0.192,0.097,0.03,0.054
3527,I,0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575
3528,I,0.35,0.265,0.085,0.1735,0.0775,0.034,0.056
3529,I,0.36,0.265,0.075,0.1785,0.0785,0.035,0.054
3530,I,0.36,0.265,0.09,0.2055,0.096,0.037,0.0585
3531,I,0.365,0.275,0.09,0.2345,0.108,0.051,0.0625
3532,I,0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775
3533,I,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087
3534,I,0.4,0.315,0.09,0.33,0.151,0.068,0.08
3535,I,0.4,0.265,0.1,0.2775,0.1245,0.0605,0.08
3536,I,0.425,0.325,0.11,0.405,0.1695,0.092,0.1065
3537,I,0.43,0.325,0.105,0.309,0.119,0.08,0.098
3538,M,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315
3539,I,0.435,0.34,0.12,0.396,0.1775,0.081,0.125
3540,I,0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12
3541,I,0.45,0.35,0.11,0.514,0.253,0.1045,0.14
3542,I,0.455,0.435,0.11,0.4265,0.195,0.09,0.1205
3543,I,0.46,0.34,0.09,0.384,0.1795,0.068,0.11
3544,I,0.475,0.355,0.125,0.4865,0.2155,0.1105,0.142
3545,I,0.475,0.36,0.135,0.4355,0.196,0.0925,0.125
3546,I,0.475,0.35,0.115,0.498,0.2375,0.099,0.14
3547,I,0.48,0.355,0.125,0.494,0.2385,0.0835,0.15
3548,F,0.495,0.37,0.12,0.594,0.28,0.11,0.1375
3549,I,0.5,0.365,0.125,0.528,0.229,0.103,0.1645
3550,M,0.505,0.39,0.115,0.5585,0.2575,0.119,0.1535
3551,I,0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855
3552,I,0.525,0.39,0.105,0.567,0.2875,0.1075,0.16
3553,I,0.53,0.405,0.13,0.6615,0.2945,0.1395,0.19
3554,I,0.53,0.42,0.13,0.658,0.296,0.1245,0.198
3555,M,0.535,0.415,0.135,0.78,0.3165,0.169,0.2365
3556,I,0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975
3557,I,0.54,0.41,0.135,0.7025,0.31,0.177,0.2
3558,I,0.55,0.425,0.155,0.8725,0.412,0.187,0.2425
3559,F,0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308
3560,M,0.57,0.47,0.155,1.186,0.6355,0.2315,0.277
3561,I,0.57,0.42,0.13,0.7745,0.3535,0.1505,0.2365
3562,F,0.57,0.42,0.16,0.8875,0.4315,0.1915,0.223
3563,I,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285
3564,I,0.575,0.44,0.125,0.8515,0.4555,0.1715,0.1965
3565,F,0.575,0.475,0.16,0.895,0.3605,0.221,0.271
3566,M,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575
3567,I,0.58,0.46,0.14,0.9265,0.4135,0.1845,0.27
3568,I,0.58,0.46,0.14,0.8295,0.3915,0.165,0.238
3569,I,0.58,0.47,0.15,0.907,0.444,0.1855,0.2445
3570,M,0.58,0.47,0.165,1.041,0.54,0.166,0.279
3571,F,0.585,0.465,0.165,0.9355,0.4035,0.2275,0.259
3572,F,0.585,0.46,0.165,1.058,0.486,0.25,0.294
3573,F,0.595,0.465,0.145,0.7955,0.3425,0.1795,0.2425
3574,F,0.6,0.47,0.17,1.0805,0.4995,0.2245,0.3205
3575,M,0.6,0.47,0.15,0.928,0.4225,0.183,0.275
3576,F,0.6,0.475,0.155,1.059,0.441,0.19,0.39
3577,M,0.6,0.475,0.23,1.157,0.522,0.2235,0.36
3578,F,0.6,0.475,0.17,1.088,0.4905,0.2475,0.31
3579,F,0.6,0.485,0.145,0.776,0.3545,0.1585,0.239
3580,F,0.62,0.48,0.165,1.043,0.4835,0.221,0.31
3581,M,0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29
3582,F,0.625,0.475,0.16,1.3335,0.605,0.2875,0.319
3583,F,0.625,0.5,0.175,1.273,0.564,0.302,0.374
3584,M,0.625,0.49,0.165,1.1835,0.517,0.2375,0.39
3585,M,0.625,0.485,0.16,1.2135,0.631,0.2235,0.302
3586,I,0.63,0.465,0.15,1.0315,0.4265,0.24,0.325
3587,M,0.635,0.495,0.17,1.3695,0.657,0.3055,0.365
3588,M,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369
3589,M,0.65,0.515,0.18,1.463,0.658,0.3135,0.4115
3590,F,0.65,0.52,0.195,1.6275,0.689,0.3905,0.432
3591,F,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095
3592,M,0.655,0.525,0.16,1.46,0.686,0.311,0.405
3593,F,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4
3594,F,0.66,0.5,0.155,1.3765,0.6485,0.288,0.335
3595,M,0.66,0.515,0.2,1.6465,0.749,0.422,0.401
3596,M,0.675,0.515,0.145,1.265,0.6025,0.299,0.325
3597,M,0.685,0.53,0.17,1.56,0.647,0.383,0.465
3598,M,0.715,0.52,0.18,1.6,0.708,0.3525,0.445
3599,M,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195
3600,I,0.175,0.125,0.04,0.028,0.0095,0.008,0.009
3601,I,0.37,0.285,0.095,0.226,0.1135,0.0515,0.0675
3602,I,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077
3603,I,0.42,0.325,0.11,0.325,0.1245,0.0755,0.1025
3604,I,0.455,0.37,0.11,0.514,0.2385,0.1235,0.126
3605,I,0.495,0.375,0.115,0.5755,0.31,0.1145,0.1395
3606,F,0.51,0.375,0.11,0.5805,0.2865,0.118,0.148
3607,M,0.515,0.39,0.14,0.678,0.341,0.1325,0.119
3608,M,0.545,0.43,0.155,0.8035,0.409,0.144,0.228
3609,F,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065
3610,M,0.58,0.45,0.16,0.8675,0.3935,0.221,0.215
3611,F,0.59,0.465,0.17,1.0425,0.4635,0.24,0.27
3612,M,0.6,0.46,0.18,1.14,0.423,0.2575,0.365
3613,F,0.61,0.49,0.17,1.3475,0.7045,0.25,0.3045
3614,M,0.615,0.475,0.155,1.0735,0.4375,0.2585,0.31
3615,M,0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285
3616,M,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371
3617,M,0.62,0.46,0.16,0.9505,0.4915,0.2,0.228
3618,M,0.63,0.515,0.17,1.385,0.6355,0.2955,0.38
3619,F,0.64,0.5,0.17,1.12,0.4955,0.2645,0.32
3620,F,0.64,0.5,0.17,1.2645,0.565,0.3375,0.315
3621,F,0.655,0.455,0.17,1.275,0.583,0.303,0.333
3622,M,0.655,0.505,0.165,1.27,0.6035,0.262,0.335
3623,M,0.66,0.53,0.175,1.583,0.7395,0.3505,0.405
3624,F,0.665,0.5,0.175,1.4355,0.643,0.345,0.37
3625,F,0.67,0.525,0.195,1.42,0.573,0.368,0.3905
3626,M,0.69,0.53,0.19,1.5955,0.678,0.331,0.48
3627,M,0.715,0.525,0.2,1.89,0.95,0.436,0.4305
3628,F,0.735,0.565,0.225,2.037,0.87,0.5145,0.5675
3629,I,0.27,0.205,0.05,0.084,0.03,0.0185,0.029
3630,I,0.285,0.225,0.07,0.1005,0.0425,0.0185,0.035
3631,I,0.295,0.22,0.085,0.1285,0.0585,0.027,0.0365
3632,I,0.3,0.225,0.075,0.1345,0.057,0.028,0.044
3633,I,0.3,0.22,0.065,0.1195,0.052,0.0155,0.035
3634,I,0.36,0.265,0.085,0.1895,0.0725,0.0515,0.055
3635,I,0.37,0.275,0.095,0.257,0.1015,0.055,0.0825
3636,I,0.39,0.29,0.09,0.2745,0.135,0.0455,0.078
3637,I,0.435,0.325,0.1,0.342,0.1335,0.0835,0.105
3638,I,0.44,0.34,0.105,0.344,0.123,0.081,0.125
3639,I,0.44,0.32,0.095,0.3275,0.1495,0.059,0.1
3640,I,0.445,0.345,0.12,0.4035,0.169,0.0825,0.13
3641,I,0.465,0.37,0.115,0.4075,0.1515,0.0935,0.1455
3642,I,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14
3643,I,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125
3644,I,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127
3645,I,0.475,0.335,0.1,0.4425,0.1895,0.086,0.135
3646,I,0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355
3647,I,0.485,0.365,0.125,0.426,0.163,0.0965,0.151
